字段,值,出现次数
软实力,积极进取,3
软实力,团队合作精神,3
软实力,团队协作,3
软实力,抗压,3
软实力,决策能力,3
软实力,管理技能,3
软实力,吃苦耐劳,3
软实力,适应能力强,3
软实力,工作认真负责,3
软实力,问题分析和解决能力,2
软实力,严谨,2
软实力,进取心,2
软实力,工作认真细致,2
软实力,团队精神,2
软实力,沟通协作能力,2
软实力,沟通协调能力,2
软实力,思维敏捷,2
软实力,条理清晰,2
软实力,细致,2
软实力,沟通,2
软实力,组织,2
软实力,协调,2
软实力,组织能力,2
软实力,协调能力,2
软实力,沟通和协调能力,1
软实力,开拓意识,1
软实力,服务意识,1
软实力,协作精神,1
软实力,敬业,1
软实力,忠诚,1
软实力,能吃苦耐劳,1
软实力,踏实肯干,1
软实力,高度责任感,1
软实力,创新,1
软实力,计划能力,1
软实力,分析学习能力,1
软实力,谈判艺术与技巧,1
软实力,谈判技巧,1
软实力,统筹协调,1
软实力,严谨负责,1
软实力,抗压性强,1
软实力,沟通协调,1
软实力,责任感,1
软实力,团队合作,1
软实力,应变能力,1
软实力,谈判能力,1
软实力,组织协调能力,1
软实力,筹划能力,1
软实力,适应工厂环境,1
软实力,遵守管理制度,1
软实力,团队管理能力,1
软实力,学习能力,1
软实力,问题解决能力,1
软实力,工作严谨,1
软实力,具有创新和团队协作精神,1
软实力,抗压能力较强,1
软实力,协调配合及服务意识强,1
软实力,应变能力强,1
软实力,能独立处理日常工作,1
软实力,能妥善处理突发事件,1
软实力,吃苦耐劳踏实肯干,1
软实力,抗压能力强,1
软实力,沟通协调能力较强,1
软实力,思维敏捷条理清晰,1
软实力,高责任感,1
软实力,有责任心,1
软实力,服从管理,1
软实力,创新意识,1
软实力,原则性强,1
软实力,团队协作精神,1
软实力,积极主动,1
软实力,能适应流水线作业节奏,1
软实力,具备基本的学习能力，可快速掌握岗位操作技能,1
软实力,服从管理安排，具有良好的纪律意识,1
软条件,一线生产/普工,59
软条件,临时工/小时工/实习生,39
软条件,家居/家具/家电,8
软条件,质量/测试/检验,5
软条件,其他/标题不清,5
软条件,生产领班,3
软条件,生产管理,3
软条件,设备/维修,3
软条件,机械工艺优化,2
软条件,装配工艺,2
软条件,家电,2
软条件,生产主管,2
软条件,生产班长,2
软条件,班组长,2
软条件,品质管理,1
软条件,质量保证,1
软条件,供应商管理,1
软条件,质量管理,1
软条件,供方认定,1
软条件,现场检验,1
软条件,来料检验,1
软条件,质量控制,1
软条件,现场质量,1
软条件,品质管控,1
软条件,质量整改,1
软条件,市场投诉,1
软条件,英语,1
软条件,消防,1
软条件,安全,1
软条件,安全工程,1
软条件,安全环保,1
软条件,安全管控,1
软条件,环保检查,1
软条件,考核结果,1
软条件,大学英语四级,1
软条件,环境工程,1
软条件,AutoCAD,1
软条件,挤出工艺,1
软条件,钣金模具,1
软条件,机械工艺验证,1
软条件,注塑工艺,1
软条件,总装工艺,1
软条件,电器,1
软条件,组装工艺,1
软条件,焊接工艺,1
软条件,熟悉各类机械工艺,1
软条件,熟悉各类化工工艺,1
软条件,熟悉各类电气工艺,1
软条件,机械,1
软条件,电气,1
软条件,制冷,1
软条件,工序优化,1
软条件,生产异常问题,1
软条件,工艺辅料,1
软条件,工程不良,1
软条件,工位器具,1
软条件,加工路线,1
软条件,生产干部,1
软条件,管理储备干部,1
软条件,生产管培生,1
软条件,班长,1
软条件,机械/设备/重工,1
软条件,生产班组长,1
软条件,管培生,1
软条件,生产组长,1
软条件,生产拉长,1
软条件,储备干部,1
软条件,货运/物流/仓储,1
软条件,物料管理,1
软条件,仓储管理,1
软条件,物资管理,1
软条件,仓储物流,1
软条件,物流优化,1
软条件,团队管理,1
软条件,保养,1
软条件,设备维护,1
软条件,班组管理,1
软条件,大修,1
软条件,机械电气,1
软条件,管理维修,1
软条件,备件台账,1
软条件,预防性检修,1
软条件,使用登记管理,1
软条件,调试,1
软条件,维护,1
软条件,plc,1
软条件,电气工程,1
软条件,维修电工,1
软条件,低压电工,1
软条件,高压电工,1
软条件,强电电工,1
软条件,弱电电工,1
软条件,机械设备维修经验,1
软条件,电气接线经验,1
软条件,电气装配经验,1
软条件,维修电工经验,1
软条件,熟悉电气原理,1
软条件,看懂电路图,1
软条件,生管,1
软条件,生产计划,1
软条件,生产,1
软条件,车间主任,1
软条件,采购助理,1
软条件,采购跟单,1
软条件,采购专员,1
软条件,物流/精益,1
软条件,采购/供应链,1
软条件,管理岗,1
软条件,工程技术岗,1
